id	en	de	es	fr	ru
rainearlyam	early morning rain	frühmorgendlicher Regen	lluvia temprano en la mañana	pluie tôt le matin	ранний утренний дождь
rainlatepm	late afternoon rain	Regen am späten Nachmittag	lluvia al final de la tarde	pluie de fin d'après-midi	возможен дождь ближе к вечеру
rainampm	rain in the morning and afternoon	morgens und nachmittags regnet es	lluvia por la mañana y por la tarde	pluie le matin et l'après-midi	дождь утром и днем
rainchance	a chance of rain	eine Chance von Regen	posibilidad de lluvia	une chance de pluie	вероятность дождя
raindefinite	rain	Regen	lluvia	pluie	дождь
snowallday	a chance of snow throughout the day	eine Chance von Schnee den ganzen Tag	posibilidad de nieve durante todo el día	une chance de neige tout au long de la journée	вероятность снега в течение дня
snowclearinglater	snow clearing later	Schneeräumung später	limpieza de nieve más tarde	neige diminuant plus tard	снег пройдёт позже
snowpm	afternoon snow	Nachmittagsschnee	nieve de la tarde	neige l'après-midi	послеполуденный снег
snowam	morning snow	Morgenschnee	nieve de la mañana	neige du matin	утренний снег
snowearlyam	early morning snow	Schnee am frühen Morgen	nieve temprano en la mañana	neige tôt le matin	ранний утренний снег
snowlatepm	late afternoon snow	Schnee am späten Nachmittag	nieve al final de la tarde	neige en fin d'après-midi	снего возможен вечером
snowampm	snow in the morning and afternoon	morgens und nachmittags schnee	nieve por la mañana y por la tarde	neige le matin et l'après-midi	снег утром и днем
snowchance	a chance of snow	eine Chance auf Schnee	una posibilidad de nieve	une chance de neige 	большая вероятность снега
snowdefinite	snow	Schnee	nieve	neige	снег
rainsnowallday	a chance of rain or snow throughout the day	eine Chance von Regen oder Schnee während des Tages	posibilidad de lluvia o nieve durante el día	un risque de pluie ou de neige tout au long de la journée	вероятность дождя или снега
rainsnowclearinglater	rain or snow clearing later	Regen- oder Schneeräumung später	lluvia o nieve aclarando más tarde	pluie ou neige diminuant plus tard	дождь или снег пройдёт позже
rainsnowpm	afternoon rain or snow	Nachmittags Regen oder Schnee	tarde lluvia o nieve	pluie ou neige l'après-midi	послеобеденный дождь или снег
rainsnowam	morning rain or snow	Morgenregen oder Schnee	mañana lluvia o nieve	pluie ou neige le matin	возможен снег или дождь утром
rainsnowearlyam	early morning snow or rain	Schnee am frühen Morgen	nieve temprano en la mañana	neige tôt le matin	ранним утром снег или дождь
rainsnowlatepm	late afternoon rain or snow	Regen oder Schnee am späten Nachmittag	lluvia o nieve al final de la tarde	pluie ou neige en fin d'après-midi	дождь или снег поздним вечером
rainsnowampm	rain or snow in the morning and afternoon	morgens und nachmittags Regen oder Schnee	lluvia o nieve por la mañana y por la tarde	pluie ou neige le matin et l'après-midi	дождь или снег утром и днем
rainsnowchance	a chance of rain or snow	eine Chance von Regen oder Schnee	posibilidad de lluvia o nieve	un risque de pluie ou de neige	вероятность дождя или снега
rainsnowdefinite	rain or snow	Regen oder Schnee	lluvia o nieve	pluie ou de neige	дождь или снег
clear	clear conditions throughout the day	klare Bedingungen	condiciones claras	conditions claires	ясно в течение всего дня
overcast	cloudy skies throughout the day	wolkige Himmel	cielos nublados	ciel nuageux	облачно в течении всего дня
cloudierpm	becoming cloudy in the afternoon	Nachmittags wird es bewölkt	volviéndose nublado por la tarde	devenant nuageux l'après-midi	облачно во второй половине дня
clearingpm	clearing in the afternoon	Nachmittags Lichtung	aclarando por la tarde	compensation l'après-midi	прояснение во второй половине дня
variablecloud	partly cloudy throughout the day	teilweise bewölkt	parcialmente nublado	Partiellement nuageux	частично облачно в течение дня
stormsstrong	strong storms possible	starke Stürme möglich	posibles tormentas fuertes	fortes tempêtes possibles	возможен сильный шторм
stormspossible	storms possible	Stürme möglich	tormentas posibles	tempêtes possibles	возможен шторм
skytempprecip	%s and %s with %s.	%s und %s mit %s.	%s y %s con %s.	%s et %s avec %s.	%s и %s с %s.
skyprecip	%s with %s.	%s mit %s.	%s con %s.	%s avec %s.	%s с %s.
sky	%s.	%s.	%s.	%s.	%s.
tempprecipweek	%s with %s.	%s mit %s.	%s con %s.	%s avec %s.	%s с %s.
tempweek	%s.	%s.	%s.	%s.	%s.
dow1	Monday	Montag	lunes	lundi	Понедельник
dow2	Tuesday	Dienstag	martes	mardi	Вторник
dow3	Wednesday	Mittwoch	miércoles	mercredi	Среда
dow4	Thursday	Donnerstag	jueves	jeudi	Четверг
dow5	Friday	Freitag	viernes	vendredi	Пятница
dow6	Saturday	Samstag	sábado	samedi	Суббота
dow7	Sunday	Sonntag	domingo	dimanche	Воскресенье
today	today	heute	hoy	aujourd'hui	  сегодня
tomorrow	tomorrow	Morgen	mañana	demain	 завтра
